sal_code,deviance,res,x,y
1992195,-0.645,4,-34.02898137,18.65836115
1992200,-0.285,3,-34.01159156,18.6537419
1992207,-0.745,5,-34.06318533,18.67653545
1992209,-0.429,3,-34.04564671,18.68264445
1992212,5.06,1,-34.01489897,18.6604447
1992219,-0.898,5,-34.05584007,18.65639077
1992245,0.592,1,-34.01229618,18.65700096
1992247,-0.6,4,-34.04160505,18.6549105
1992254,-0.106,2,-34.02151494,18.65483784
1992256,1.12,1,-34.04932798,18.69135853
1992261,0.274,2,-34.03102848,18.66228382
1992281,-0.676,4,-34.02052061,18.67234499
1992299,-0.783,5,-34.04141587,18.68736963
1992301,-0.243,3,-34.01842409,18.66881532
1992302,-0.274,3,-34.02076528,18.66918249
1992309,-0.646,4,-34.05576616,18.69879622
1992319,0.968,1,-34.01500698,18.65545342
1992324,0.945,1,-34.0110807,18.65279161
1992329,-0.543,4,-34.05034048,18.66788412
1992330,-0.006,2,-34.04257323,18.66690769
1992340,-0.14,2,-34.05917745,18.7087779
1992349,-0.822,5,-34.06197374,18.66697219
1992351,-0.55,4,-34.0427954,18.68623418
1992359,1.578,1,-34.04164969,18.65910195
1992371,0.539,1,-34.01392917,18.65630498
1992377,-0.212,3,-34.02228898,18.66581656
1992382,0.864,1,-34.00738003,18.63929901
1992392,-0.29,3,-34.04128926,18.65663429
1992395,-0.497,4,-34.03543678,18.66366918
1992409,0.124,2,-34.02467834,18.67142916
1992413,0.086,2,-34.04567933,18.66340903
1992451,0.029,2,-34.0369301,18.65769933
1992459,-0.476,3,-34.01926975,18.65422675
1992472,-0.39,3,-34.05959373,18.69329698
1992477,-0.51,4,-34.03287169,18.67600319
1992478,1.113,1,-34.02467765,18.6750145
1992498,-0.582,4,-34.05472325,18.66577132
1992521,-0.844,5,-34.06179113,18.66458789
1992532,-0.125,2,-34.01905034,18.66510309
1992534,0.218,2,-34.05778644,18.69320758
1992538,-0.866,5,-34.06581943,18.68581668
1992539,-0.732,5,-34.04143014,18.69385181
1992545,-0.832,5,-34.0553562,18.71381115
1992546,-0.274,3,-34.04951903,18.66162969
1992551,-0.163,2,-34.01892785,18.66329372
1992565,-0.241,3,-34.0286684,18.66960537
1992566,-0.649,4,-34.0582834,18.65887668
1992583,-0.341,3,-34.05328531,18.65658687
1992598,-0.812,5,-34.06340667,18.68915831
1992599,-0.486,3,-34.04544056,18.6592644
1992604,-0.419,3,-34.03152078,18.67461024
1992605,-0.428,3,-34.01680713,18.63898175
1992615,-0.891,5,-34.06144962,18.69605484
1992621,0.525,1,-34.01886224,18.65167759
1992625,-0.265,3,-34.05195775,18.67818996
1992626,0.906,1,-34.01114929,18.65138356
1992633,-0.874,5,-34.0601785,18.69765641
1992651,-0.377,3,-34.02730285,18.66815724
1992663,-0.404,3,-34.03637648,18.67375488
1992666,0.493,1,-34.05022282,18.67893697
1992668,0.309,2,-34.02542642,18.65385511
1992676,1.36,1,-34.02085093,18.6599534
1992682,-0.394,3,-34.06368441,18.67813341
1992684,-0.836,5,-34.0637086,18.67456276
1992685,-0.647,4,-34.03386726,18.67893299
1992760,-0.71,5,-34.04009599,18.70181266
1992764,-0.578,4,-34.04819785,18.69350602
1992766,0.505,1,-34.04359683,18.66250391
1992768,0.566,1,-34.03739653,18.65454916
1992775,-0.03,2,-34.06041242,18.66665626
1992778,-0.73,5,-34.03435463,18.67368004
1992785,3.471,1,-34.05679313,18.69044288
1992794,-0.345,3,-34.02849621,18.65610732
1992795,0.53,1,-34.05744491,18.6757131
1992797,0.293,2,-34.01642352,18.66008544
1992803,-0.175,2,-34.03892767,18.67942322
1992808,-0.71,5,-34.06165429,18.68767362
1992827,0.015,2,-34.0188011,18.65700863
1992836,0.749,1,-34.02661937,18.66694882
1992841,0.133,2,-34.0198346,18.66660586
1992865,-0.701,4,-34.03687757,18.67819672
1992884,-0.416,3,-34.05917883,18.69160806
1992887,-0.553,4,-34.04103234,18.68005377
1992910,-0.177,2,-34.05139426,18.71115557
1992911,1.052,1,-34.03867683,18.65635101
1992921,-0.863,5,-34.05602132,18.70218982
1992923,0.117,2,-34.05255617,18.67966505
1992928,-0.416,3,-34.06010828,18.66928066
1992935,0.96,1,-34.01309212,18.64754165
1992936,-0.241,3,-34.02707679,18.65593159
1992941,-0.477,3,-34.03301303,18.66306154
1992945,1.539,1,-34.05941662,18.68861851
1992956,-0.5,4,-34.03497568,18.65735402
1992961,-0.01,2,-34.05105099,18.65912908
1992964,-0.045,2,-34.02661634,18.66089028
1992974,-0.133,2,-34.01944319,18.65866316
1992979,-0.373,3,-34.00939743,18.64900553
1992990,-0.72,5,-34.02989694,18.67451361
1992991,0.867,1,-34.0120965,18.64671735
1993001,0.602,1,-34.02301451,18.67049256
1993009,3.229,1,-34.05547882,18.70998316
1993010,0.235,2,-34.05334709,18.67482877
1993016,0.076,2,-34.06099906,18.68989661
1993021,-0.621,4,-34.05503618,18.66462194
1993035,-0.419,3,-34.0401076,18.6994314
1993046,0.228,2,-34.03199481,18.65865451
1993051,-0.885,5,-34.06239806,18.67286861
1993053,-0.526,4,-34.03146369,18.65421781
1993055,0.942,1,-34.05549084,18.67360178
1993062,-0.474,3,-34.0522887,18.71052662
1993072,-0.831,5,-34.0650778,18.68865198
1993082,-0.268,3,-34.02117191,18.66418472
1993089,2.224,1,-34.051493,18.69696
1993092,-0.328,3,-34.03742214,18.6764979
1993094,0.725,1,-34.03643636,18.66071958
1993099,-0.499,4,-34.0272954,18.67589121
1993104,-0.359,3,-34.04346882,18.68365966
1993106,0.529,1,-34.04548946,18.66848447
1993113,-0.65,4,-34.04534225,18.70240214
1993144,-0.759,5,-34.03479658,18.66740444
1993149,0.7,1,-34.05225762,18.71467133
1993164,-0.476,3,-34.0578325,18.68998656
1993180,-0.56,4,-34.02809285,18.65367271
1993181,1.597,1,-34.02694057,18.65960867
1993187,-0.666,4,-34.05626837,18.66652017
1993190,0.478,1,-34.02196749,18.66967532
1993191,-0.646,4,-34.04412207,18.70369898
1993192,-0.084,2,-34.04703841,18.66129075
1993194,0.473,1,-34.04777506,18.70212781
1993196,0.566,1,-34.04818217,18.68787532
1993197,0.744,1,-34.05772419,18.68225929
1993212,-0.31,3,-34.02902616,18.65388113
1993213,0.093,2,-34.02775203,18.65661175
1993216,-0.538,4,-34.03037195,18.67204123
1993220,-0.073,2,-34.03575797,18.65555846
1993221,1.336,1,-34.05237035,18.68834055
1993230,1.125,1,-34.03789458,18.70505253
1993243,1.214,1,-34.04077603,18.66124462
1993249,-0.37,3,-34.03413181,18.65484271
1993250,-0.026,2,-34.05589538,18.69463383
1993251,-0.446,3,-34.05645235,18.67621496
1993254,-0.563,4,-34.04444554,18.66534109
1993255,0.038,2,-34.05710897,18.6712445
1993262,-0.405,3,-34.02531327,18.67176415
1993272,-0.802,5,-34.06380361,18.68330414
1993274,-0.588,4,-34.03364595,18.66866049
1993277,-0.178,2,-34.04843987,18.65581187
1993286,-0.496,4,-34.06184593,18.68499052
1993291,-0.873,5,-34.02916214,18.65183654
1993309,-0.583,4,-34.04271203,18.68072176
1993313,-0.171,2,-34.0594541,18.67061911
1993318,-0.086,2,-34.05001616,18.69253108
1993326,-0.614,4,-34.03272395,18.65449397
1993334,0.183,2,-34.02124659,18.65726886
1993340,-0.556,4,-34.0558347,18.67710146
1993344,-0.085,2,-34.00777772,18.64493916
1993349,1.491,1,-34.0227172,18.66355286
1993355,1.333,1,-34.05563159,18.68232772
1993381,-0.508,4,-34.0272137,18.65356983
1993396,-0.005,2,-34.04105014,18.68206944
1993397,-0.391,3,-34.05058367,18.71207284
1993398,-0.678,4,-34.0201194,18.66392588
1993401,-0.767,5,-34.0585855,18.69086946
1993404,-0.386,3,-34.03601216,18.67054812
1993410,0.937,1,-34.04956949,18.70966612
1993424,-0.694,4,-34.04523274,18.70770178
1993427,-0.646,4,-34.03473624,18.67645688
1993429,-0.851,5,-34.06059163,18.70595269
1993433,0.708,1,-34.05282947,18.70868499
1993444,-0.303,3,-34.05180034,18.70298838
1993452,-0.465,3,-34.05702042,18.66943602
1993454,1.23,1,-34.04277379,18.70655785
1993459,-0.3,3,-34.02847811,18.67172413
1993472,-0.371,3,-34.04653511,18.69372551
1993502,0.932,1,-34.02351179,18.66494663
1993503,1.654,1,-34.04746133,18.68016955
1993504,-0.053,2,-34.02383104,18.66280512
1993517,0.48,1,-34.02935505,18.67666561
1993525,-0.505,4,-34.0381335,18.67500501
1993526,-0.688,4,-34.04554854,18.69088622
1993539,-0.602,4,-34.02578733,18.67240744
1993542,-0.831,5,-34.06111979,18.69152385
1993544,-0.41,3,-34.04224422,18.70561457
1993545,-0.815,5,-34.06193543,18.66198129
1993550,-0.003,2,-34.05408995,18.70654334
1993556,-0.538,4,-34.03052456,18.66558589
1993562,1.251,1,-34.04532812,18.69674344
1993569,0.039,2,-34.00563457,18.64219144
1993570,-0.284,3,-34.04929343,18.71278845
1993571,-0.198,3,-34.02124951,18.65262316
1993580,1.859,1,-34.05790728,18.71027509
1993589,-0.011,2,-34.04202884,18.69641507
1993593,-0.385,3,-34.00983516,18.63580618
1993599,-0.322,3,-34.05879649,18.67302104
1993607,0.864,1,-34.04343788,18.69745399
1993612,-0.408,3,-34.04379036,18.65698346
1993626,-0.273,3,-34.05378683,18.70996298
1993630,-0.303,3,-34.02171792,18.65821342
1993636,-0.889,5,-34.05898469,18.70498494
1993638,0.087,2,-34.02527769,18.66022937
1993643,1.018,1,-34.02440287,18.65454688
1993645,-0.549,4,-34.04546291,18.70980385
1993656,0.012,2,-34.03119496,18.67864193
1993669,-0.877,5,-34.06293564,18.66992683
1993675,-0.522,4,-34.03231586,18.66722025
1993679,-0.667,4,-34.05251152,18.65876051
1993683,0.505,1,-34.05726148,18.66482872
1993684,-0.606,4,-34.04969876,18.70245282
1993693,-0.728,5,-34.04206622,18.70148543
1993697,0.208,2,-34.0385597,18.67012299
1993699,-0.182,3,-34.02493333,18.65678816
1993701,1.101,1,-34.02277717,18.66554865
1993702,0.013,2,-34.022917,18.65919784
1993705,-0.561,4,-34.03996241,18.68078353
1993708,0.326,2,-34.0551182,18.66732587
1993716,-0.167,2,-34.04199155,18.67871741
1993717,-0.85,5,-34.05409324,18.70442098
1993730,1.587,1,-34.04773149,18.70642113
1993755,0.113,2,-34.04002291,18.67731152
1993761,-0.368,3,-34.05440499,18.67041187
1993787,-0.536,4,-34.05827856,18.68804685
1993790,-0.691,4,-34.02619739,18.67768142
1993796,-0.379,3,-34.0417999,18.70376104
1993806,0.313,2,-34.03921348,18.66501924
1993808,2.05,1,-34.02135669,18.66225715
1993809,-0.794,5,-34.05819308,18.69594074
1993812,-0.633,4,-34.01631646,18.65711015
1993817,-0.394,3,-34.05859016,18.66827151
1993818,-0.694,4,-34.05705657,18.69535994
1993826,1.273,1,-34.0611269,18.68047665
1993834,-0.31,3,-34.05050664,18.68261922
1993836,-0.484,3,-34.04746231,18.71031337
1993837,-0.063,2,-34.02652422,18.67290035
1993840,-0.615,4,-34.05330826,18.71234758
